design,flow,switching_power,switching_power_%,tot_power,tot_power_%,#1-bit FFs,#2-bit FFs,#4-bit FFs,#clk bufs,#clk bufs_%,WNS,WNS_%,TNS,TNS_%,area,area_%,WL,WL_%,#inst,#inst_%
ethmac,SFTray alpha_16-beta_0.1,0.0134216,-46.05,0.067718,-39.17,1340,19,2292,385,-57.69,-84.5453,-1.99,-1430.47,-2.29,7747.51,-2.37,212524,0.97,53481,-12.25
ethmac,Ours alpha_16-beta_0.1,0.0133758,-46.23,0.0672386,-39.6,1330,26,2291,380,-58.24,-83.7235,-2.95,-1421.33,-2.92,7743.93,-2.42,212733,1.07,53476,-12.26
ethmac,SFTray alpha_67-beta_0.1,0.0133207,-46.46,0.0671978,-39.64,1312,11,2303,372,-59.12,-83.3867,-3.34,-1408.02,-3.83,7743.5,-2.42,212919,1.16,53443,-12.31
ethmac,Ours alpha_67-beta_0.1,0.0133114,-46.49,0.0673539,-39.5,1300,19,2302,389,-57.25,-86.3644,0.12,-1407.76,-3.85,7745.52,-2.4,212961,1.18,53442,-12.32
ethmac,SFTray alpha_130-beta_0.1,0.0133207,-46.46,0.0671978,-39.64,1312,11,2303,372,-59.12,-83.3867,-3.34,-1408.02,-3.83,7743.5,-2.42,212919,1.16,53443,-12.31
ethmac,Ours alpha_130-beta_0.1,0.0133114,-46.49,0.0673539,-39.5,1300,19,2302,389,-57.25,-86.3644,0.12,-1407.76,-3.85,7745.52,-2.4,212961,1.18,53442,-12.32
ethmac,SFTray alpha_193-beta_0.1,0.0133207,-46.46,0.0671978,-39.64,1312,11,2303,372,-59.12,-83.3867,-3.34,-1408.02,-3.83,7743.5,-2.42,212919,1.16,53443,-12.31
ethmac,Ours alpha_193-beta_0.1,0.0133641,-46.28,0.0672232,-39.61,1298,20,2302,383,-57.91,-82.6106,-4.24,-1358.1,-7.24,7744.85,-2.41,213143,1.27,53446,-12.31
ethmac,SFTray alpha_256-beta_0.1,0.0133207,-46.46,0.0671978,-39.64,1312,11,2303,372,-59.12,-83.3867,-3.34,-1408.02,-3.83,7743.5,-2.42,212919,1.16,53443,-12.31
ethmac,Ours alpha_256-beta_0.1,0.0133641,-46.28,0.0672232,-39.61,1298,20,2302,383,-57.91,-82.6106,-4.24,-1358.1,-7.24,7744.85,-2.41,213143,1.27,53446,-12.31
